"gene"	"cor.ntop20"	"cor.mean"	"cor.sd"	"cor.median"	"cor.mean.sd.ratio"	"auc.gene"	"auc.ci95.min"	"auc.ci95.max"
"CYP27A1"	0	0.179344465058751	0.0650139707157123	0.178947368421053	2.75855270927803	0.55	0.294152673048154	0.805847326951846
"CYP2S1"	0.432900432900433	0.16573902288188	0.0783366328376625	0.145864661654135	2.11572819609623	0.625	0.373754485422357	0.876245514577643
"CYP4F22"	0	-0.124551638837353	0.0824128077791247	-0.135338345864662	-1.51131410509839	0.35	0.109774875705513	0.590225124294487
"CYP4F3"	0	0.0119975262832406	0.0839941934616108	0.00451127819548872	0.142837567560239	0.25	0.0299122972219036	0.470087702778096
"CYP4V2"	0	-0.154483611626469	0.0696106903416539	-0.147368421052632	-2.21925125103993	0.475	0.208879424993939	0.741120575006061
"DACT1"	15.5844155844156	0.346938775510204	0.0674330370414292	0.333834586466165	5.14493771498166	0.508333333333333	0.226018530805704	0.790648135860962
"DAPK1"	0	0.198639455782313	0.0760896508797544	0.192481203007519	2.61059754494374	0.541666666666667	0.288242682004637	0.795090651328697
"DCAF4"	0	-0.196413110698825	0.0705877950775138	-0.195488721804511	-2.78253642124875	0.425	0.171916496116003	0.678083503883997
"DCBLD1"	0	-0.00371057513914657	0.0828288502212668	-0.00300751879699248	-0.0447981002903485	0.475	0.20796967752531	0.74203032247469
"DCTN5"	0	-0.196660482374768	0.0801474957122782	-0.192481203007519	-2.45373209265028	0.408333333333333	0.151949428690211	0.664717237976456
"DDX3X"	0	0.0457637600494743	0.0677397989622483	0.0466165413533835	0.675581574651243	0.416666666666667	0.147395434791811	0.685937898541522
"DDX3Y"	0	-0.271366728509586	0.0832166729371068	-0.276691729323308	-3.26096584893124	0.391666666666667	0.13986406600689	0.643469267326443
"DDX43"	0	-0.330241187384045	0.0731034303003426	-0.324812030075188	-4.5174513155848	0.316666666666667	0.0780848577387717	0.555248475594562
"DGKK"	0	0.0703772418058132	0.0800074741945287	0.0796992481203007	0.879633340688887	0.383333333333333	0.124553803102526	0.642112863564141
"DIP2A"	0	0.105256648113791	0.0706222095775642	0.102255639097744	1.49041850635086	0.591666666666667	0.336040610841856	0.847292722491477
"DLG5"	0	-0.318614718614719	0.0676915880249118	-0.318796992481203	-4.70685838390233	0.416666666666667	0.160966832524169	0.672366500809165
"DPP4"	0	0.051948051948052	0.0728235809039816	0.0481203007518797	0.713341081325647	0.525	0.256520493504726	0.793479506495274
"DRAM2"	0	0.0782931354359926	0.070518210746046	0.081203007518797	1.11025414013901	0.483333333333333	0.221222317906165	0.745444348760502
"DSC1"	0	-0.035374149659864	0.0750417420193475	-0.0315789473684211	-0.471392970205085	0.55	0.279650160845879	0.820349839154121
"DSP"	0	-0.0456400742115028	0.0761090749685957	-0.0526315789473684	-0.599666652502805	0.55	0.296267849278454	0.803732150721546
"DTHD1"	0	0.173531230674088	0.0711705640701456	0.178947368421053	2.4382444194633	0.541666666666667	0.283335275947743	0.799998057385591
"DUSP16"	0	-0.25417439703154	0.0620610119614578	-0.255639097744361	-4.09555675936112	0.566666666666667	0.312446467033623	0.82088686629971
"EBF1"	0	-0.100927643784787	0.0665037742121782	-0.0992481203007519	-1.51762279630597	0.575	0.322470756476485	0.827529243523515
"EDAR"	0	0.0784168212739641	0.0729826968354499	0.0932330827067669	1.07445770948649	0.466666666666667	0.202629995382227	0.730703337951107
"EFCAB2"	0	-0.079282622139765	0.0729593387911725	-0.0827067669172932	-1.0866685944988	0.516666666666667	0.257741397922225	0.775591935411108
"EFHA2"	15.1515151515152	0.354359925788497	0.0564139081548025	0.350375939849624	6.28142841683857	0.683333333333333	0.443782179667327	0.92288448699934
"EFNA5"	0	-0.26295609152752	0.0698162757278409	-0.269172932330827	-3.76640101160051	0.475	0.215440682760257	0.734559317239743
"EIF1AX"	0	0.0142238713667285	0.0754806568229617	0.00300751879699248	0.188443926767759	0.458333333333333	0.201634318688074	0.715032347978593
"EIF1AY"	0	-0.218429189857761	0.0827168664959542	-0.230075187969925	-2.64068501517094	0.45	0.183383733074632	0.716616266925368
"EIF2S3"	0	0.0805194805194805	0.0762260649845945	0.0781954887218045	1.05632476943095	0.475	0.2176719229477	0.7323280770523
"EIF3F"	0	0.0681508967223253	0.0726291148986934	0.0616541353383459	0.938341281143044	0.725	0.504337606833842	0.945662393166158
"EIF4E3"	0.865800865800866	0.208658008658009	0.0755773132356932	0.193984962406015	2.7608550730997	0.808333333333333	0.608484023799892	1
"ELOVL4"	0	-0.130488559059988	0.079228614954298	-0.130827067669173	-1.64698775985493	0.466666666666667	0.210903610905168	0.722429722428166
"EMR1"	6.06060606060606	0.298577612863327	0.0727935896936343	0.306766917293233	4.10170200590393	0.591666666666667	0.331443778946311	0.851889554387022
"EMR2"	0.432900432900433	0.232282003710575	0.0687966446037544	0.233082706766917	3.37635658030187	0.675	0.4373801499624	0.9126198500376
"EMR4P"	2.5974025974026	0.246258503401361	0.0853548496058182	0.231578947368421	2.8851143729808	0.558333333333333	0.302854898062085	0.813811768604582
"ENOSF1"	0	0.225108225108225	0.0615242564644837	0.210526315789474	3.65885324007408	0.55	0.286842465219862	0.813157534780138
"ENPP1"	80.952380952381	0.474829931972789	0.0624902761840039	0.476691729323308	7.59846108816423	0.608333333333333	0.354293390376361	0.862373276290305
